"welldpth","latitude","longitude","u_ppb","state"
NA,39.0483,-105.8397,6.59,"CO"
NA,39.0483,-105.8397,6.33,"CO"
NA,39.0213,-105.8019,3.53,"CO"
NA,39.0213,-105.8019,3.64,"CO"
NA,39.0213,-105.8019,3.08,"CO"
NA,39.0025,-105.708,2.97,"CO"
NA,39.0025,-105.708,3.87,"CO"
NA,39.0025,-105.708,3.3,"CO"
NA,39.0186,-105.7555,3.4,"CO"
NA,39.0186,-105.7555,2.1,"CO"
NA,37.7353,-107.5333,0.1,"CO"
NA,39.0186,-105.7555,1.14,"CO"
NA,39.018,-105.7933,0.98,"CO"
NA,39.018,-105.7933,0.3,"CO"
NA,39.018,-105.7933,0.1,"CO"
NA,39.0236,-105.6308,0.97,"CO"
NA,39.0236,-105.6308,0.21,"CO"
NA,39.0236,-105.6308,0.7,"CO"
NA,39.1094,-105.8908,4.23,"CO"
NA,39.1094,-105.8908,1.65,"CO"
NA,37.7353,-107.5769,0.14,"CO"
NA,39.1094,-105.8908,1.51,"CO"
NA,39.1672,-105.9441,2.1,"CO"
NA,39.1672,-105.9441,2.43,"CO"
NA,39.1672,-105.9441,1.96,"CO"
NA,39.2194,-105.9938,1.6,"CO"
NA,39.2194,-105.9938,6.09,"CO"
NA,39.2194,-105.9938,1.88,"CO"
NA,39.2194,-105.9938,4.85,"CO"
NA,39.0927,-105.865,1.79,"CO"
NA,39.0927,-105.865,5.12,"CO"
NA,39.0927,-105.865,2.88,"CO"
NA,39.063,-105.8225,3.47,"CO"
NA,39.063,-105.8225,2.45,"CO"
NA,39.063,-105.8225,2.84,"CO"
NA,39.0291,-105.7733,1.8,"CO"
NA,39.0291,-105.7733,2,"CO"
NA,39.0291,-105.7733,3.29,"CO"
NA,39.0305,-105.445,98.4,"CO"
NA,39.0305,-105.445,103,"CO"
NA,39.0305,-105.445,76.9,"CO"
NA,39.0522,-105.4683,10,"CO"
NA,37.7353,-107.5769,0.1,"CO"
NA,39.0522,-105.4683,9.6,"CO"
NA,39.0522,-105.4683,7.54,"CO"
NA,39.07,-105.4483,52.9,"CO"
NA,37.7275,-107.585,0.1,"CO"
NA,37.7183,-107.5953,0.1,"CO"
NA,39.07,-105.4483,51.5,"CO"
NA,39.07,-105.4483,51.3,"CO"
NA,39.06,-105.4391,32,"CO"
NA,39.06,-105.4391,31.2,"CO"
NA,39.06,-105.4391,32.6,"CO"
NA,39.08,-105.453,25.1,"CO"
NA,37.7183,-107.5953,0.1,"CO"
NA,39.08,-105.453,24.3,"CO"
NA,39.08,-105.453,26.3,"CO"
NA,39.0888,-105.4897,30.6,"CO"
NA,39.0888,-105.4897,29.8,"CO"
NA,39.0888,-105.4897,31.6,"CO"
NA,39.0913,-105.4238,2.61,"CO"
NA,39.0913,-105.4238,2.91,"CO"
NA,39.0913,-105.4238,1.8,"CO"
NA,39.0913,-105.4238,3.03,"CO"
NA,39.0852,-105.4197,2.87,"CO"
NA,39.0852,-105.4197,2.31,"CO"
NA,39.0852,-105.4197,2.58,"CO"
NA,39.0805,-105.4158,1.89,"CO"
NA,39.0805,-105.4158,1.85,"CO"
NA,39.0805,-105.4158,1.82,"CO"
NA,39.1383,-105.4605,1.77,"CO"
NA,39.1383,-105.4605,1.99,"CO"
NA,39.1383,-105.4605,0.74,"CO"
NA,39.1438,-105.468,1.69,"CO"
NA,39.1438,-105.468,1.54,"CO"
NA,39.1438,-105.468,0.92,"CO"
NA,39.1475,-105.4713,1.5,"CO"
NA,39.1475,-105.4713,1.65,"CO"
NA,39.1475,-105.4713,2.27,"CO"
NA,39.1525,-105.4772,3.32,"CO"
NA,39.1525,-105.4772,2.57,"CO"
NA,39.1525,-105.4772,0.87,"CO"
NA,39.1616,-105.4886,2.37,"CO"
NA,39.1616,-105.4886,1.6,"CO"
NA,39.1616,-105.4886,1.95,"CO"
NA,39.0786,-105.4269,108,"CO"
NA,39.0786,-105.4269,106,"CO"
NA,39.0786,-105.4269,112,"CO"
NA,39.1658,-105.495,1.9,"CO"
NA,39.1658,-105.495,1.34,"CO"
NA,39.1658,-105.495,2.32,"CO"
NA,39.1658,-105.495,2.06,"CO"
NA,37.7142,-107.5933,0.24,"CO"
NA,39.168,-105.5033,2.28,"CO"
NA,39.168,-105.5033,2.21,"CO"
NA,39.168,-105.5033,2.93,"CO"
NA,39.1677,-105.5077,2.28,"CO"
NA,37.7142,-107.5933,0.27,"CO"
NA,39.1677,-105.5077,1.83,"CO"
NA,39.1677,-105.5077,1.88,"CO"
NA,37.7083,-107.5872,0.1,"CO"
NA,39.1705,-105.513,1.24,"CO"
NA,39.1705,-105.513,1.62,"CO"
NA,39.1705,-105.513,2.43,"CO"
NA,37.7083,-107.5872,0.1,"CO"
NA,39.175,-105.5188,1.62,"CO"
NA,37.7139,-107.6075,0.1,"CO"
NA,39.175,-105.5188,1.81,"CO"
NA,39.175,-105.5188,2.71,"CO"
NA,39.183,-105.5283,1.95,"CO"
NA,39.183,-105.5283,2.52,"CO"
NA,39.183,-105.5283,3.86,"CO"
NA,39.1891,-105.5419,2.66,"CO"
NA,39.1891,-105.5419,1.13,"CO"
NA,39.1891,-105.5419,1.72,"CO"
NA,39.1972,-105.5497,1.64,"CO"
NA,39.1972,-105.5497,1.39,"CO"
NA,39.1972,-105.5497,1.48,"CO"
NA,37.7139,-107.6075,0.1,"CO"
NA,37.7492,-107.6081,0.35,"CO"
NA,37.6411,-107.6128,0.1,"CO"
NA,39.1983,-105.5533,1.97,"CO"
NA,37.6411,-107.6128,0.29,"CO"
NA,39.1983,-105.5533,1.47,"CO"
NA,39.1983,-105.5533,2.1,"CO"
NA,37.6461,-107.6617,0.21,"CO"
NA,39.2022,-105.5605,2.14,"CO"
NA,39.2022,-105.5605,1.35,"CO"
NA,37.4614,-107.4883,0.32,"CO"
NA,37.4636,-107.4886,0.31,"CO"
NA,39.2022,-105.5605,1.79,"CO"
NA,39.2066,-105.5658,1.73,"CO"
NA,39.2066,-105.5658,2.18,"CO"
NA,39.2066,-105.5658,1.94,"CO"
NA,39.2066,-105.5658,1.33,"CO"
NA,39.2097,-105.57,1.87,"CO"
NA,39.2097,-105.57,1.69,"CO"
NA,39.2097,-105.57,3.02,"CO"
NA,39.2141,-105.5797,1.64,"CO"
NA,39.2141,-105.5797,2.05,"CO"
NA,39.2141,-105.5797,2.49,"CO"
NA,39.2161,-105.5855,2.75,"CO"
NA,39.2161,-105.5855,1.96,"CO"
NA,37.4636,-107.4886,0.1,"CO"
NA,39.2161,-105.5855,0.76,"CO"
NA,39.218,-105.5933,1.59,"CO"
NA,39.218,-105.5933,2.75,"CO"
NA,39.218,-105.5933,1.01,"CO"
NA,39.2219,-105.6019,0.98,"CO"
NA,39.2219,-105.6019,1.26,"CO"
NA,39.2219,-105.6019,1.67,"CO"
NA,39.0661,-105.6988,1.46,"CO"
NA,39.0661,-105.6988,1.37,"CO"
NA,39.0661,-105.6988,0.6,"CO"
NA,39.2425,-105.64,0.63,"CO"
NA,39.2425,-105.64,0.16,"CO"
NA,39.2425,-105.64,1.3,"CO"
NA,39.24,-105.6463,1.38,"CO"
NA,39.24,-105.6463,1.5,"CO"
NA,39.24,-105.6463,1.02,"CO"
NA,39.2422,-105.6502,1.61,"CO"
NA,39.2422,-105.6502,1.12,"CO"
NA,39.2422,-105.6502,1.06,"CO"
NA,39.2633,-105.6686,2.59,"CO"
NA,39.2633,-105.6686,3.95,"CO"
NA,39.2633,-105.6686,1.32,"CO"
NA,39.2633,-105.6686,4.43,"CO"
NA,39.2694,-105.6744,1.75,"CO"
NA,39.2694,-105.6744,1.31,"CO"
NA,39.2694,-105.6744,0.73,"CO"
NA,39.2763,-105.6841,1.34,"CO"
NA,39.2763,-105.6841,0.71,"CO"
NA,39.2763,-105.6841,1.2,"CO"
NA,39.2797,-105.6897,0.9,"CO"
NA,39.2797,-105.6897,1.47,"CO"
NA,39.2797,-105.6897,2.06,"CO"
NA,37.4836,-107.6419,0.1,"CO"
NA,37.4792,-107.4097,0.21,"CO"
NA,39.2869,-105.6955,1.19,"CO"
NA,37.4792,-107.4097,0.1,"CO"
NA,39.2869,-105.6955,1.25,"CO"
NA,37.4819,-107.4197,0.1,"CO"
NA,37.4819,-107.4197,0.1,"CO"
NA,39.2869,-105.6955,1.5,"CO"
NA,39.29,-105.6977,0.29,"CO"
NA,37.4664,-107.4208,0.22,"CO"
NA,39.29,-105.6977,0.99,"CO"
NA,39.29,-105.6977,1.34,"CO"
NA,39.2891,-105.6988,1.37,"CO"
NA,39.2891,-105.6988,0.41,"CO"
NA,39.2891,-105.6988,2.95,"CO"
NA,37.4664,-107.4208,0.1,"CO"
NA,39.2947,-105.7055,1.2,"CO"
NA,39.2947,-105.7055,0.32,"CO"
NA,39.2947,-105.7055,0.56,"CO"
NA,37.5075,-107.4614,0.1,"CO"
NA,39.2958,-105.7125,1.71,"CO"
NA,39.2958,-105.7125,0.76,"CO"
NA,39.2958,-105.7125,0.55,"CO"
NA,37.6375,-107.4617,0.1,"CO"
NA,39.2947,-105.7277,1.86,"CO"
NA,39.2947,-105.7277,1.9,"CO"
NA,39.2947,-105.7277,2.04,"CO"
NA,39.2958,-105.7286,1.5,"CO"
NA,39.2958,-105.7286,1.07,"CO"
NA,39.2958,-105.7286,1.05,"CO"
NA,37.5697,-107.3744,0.1,"CO"
NA,39.2958,-105.7286,0.78,"CO"
NA,39.2988,-105.7338,0.74,"CO"
NA,39.2988,-105.7338,1.17,"CO"
NA,39.2988,-105.7338,1.01,"CO"
NA,39.298,-105.7422,1.73,"CO"
NA,39.298,-105.7422,2.61,"CO"
NA,37.5781,-107.3769,0.1,"CO"
NA,37.5781,-107.3769,0.1,"CO"
NA,39.298,-105.7422,3.98,"CO"
NA,39.3058,-105.7494,1.26,"CO"
NA,39.3058,-105.7494,0.68,"CO"
NA,39.3058,-105.7494,1.23,"CO"
NA,39.3133,-105.7522,0.99,"CO"
NA,39.3133,-105.7522,0.86,"CO"
NA,37.6225,-107.3511,0.1,"CO"
NA,37.5158,-107.3831,0.1,"CO"
NA,37.5158,-107.3831,0.14,"CO"
NA,39.3133,-105.7522,0.9,"CO"
NA,39.3208,-105.7597,0.16,"CO"
NA,39.3208,-105.7597,0.86,"CO"
NA,37.77,-107.5756,0.76,"CO"
NA,39.3208,-105.7597,0.5,"CO"
NA,38.4242,-106.1758,0.16,"CO"
NA,39.3244,-105.768,1.03,"CO"
NA,39.3244,-105.768,1.8,"CO"
NA,39.3244,-105.768,0.3,"CO"
NA,39.3277,-105.7694,0.91,"CO"
NA,39.3277,-105.7694,0.94,"CO"
NA,39.3277,-105.7694,0.7,"CO"
NA,39.3286,-105.7683,1.32,"CO"
NA,39.3286,-105.7683,1.42,"CO"
NA,39.3286,-105.7683,1,"CO"
NA,39.0191,-105.3566,3.41,"CO"
NA,39.0191,-105.3566,3.06,"CO"
NA,39.0191,-105.3566,2.32,"CO"
